video_id,title,category_id,video_duration,tags_count,views,thumbnail_link,description_length,time_duration,published_at,keyword,thumbnail_path,object_complexity,element_complexity,brightness,colorfulness
dGX9HPNuS1k,テスト返し中に謎のゲームが始まった…？　#りんき #rinki #年代別 #コント #shorts #イカゲーム　#シカゲーム,24,100.0,0,2749016,https://i.ytimg.com/vi/dGX9HPNuS1k/hqdefault.jpg,0,15,2025-06-28T14:31:23Z,ゲーム,thumbnails/dGX9HPNuS1k.jpg,3.0,1.0,67.6841203703704,47.8746795419124
zDOYq5m6BkU,【イカゲーム３】大縄跳びの曲をメインキャストがアカペラ #ネットフリックス #squidgame #イカゲーム #netflix #shorts,22,29.0,0,3419923,https://i.ytimg.com/vi/zDOYq5m6BkU/hqdefault.jpg,0,11,2025-07-02T08:59:34Z,ゲーム,thumbnails/zDOYq5m6BkU.jpg,6.0,1.0,47.3153935185185,39.8358808325371
-kN4NhgQqtg,【衝撃】ゲームでストーリーの順序を無視して進めると…? #ゲーム #ポケモン #小ネタ,22,48.0,0,2732625,https://i.ytimg.com/vi/-kN4NhgQqtg/hqdefault.jpg,61,25,2025-06-19T03:00:00Z,ゲーム,thumbnails/-kN4NhgQqtg.jpg,0.0,0.0,102.74708912037,25.6073870134501
U7aH7LO9zEQ,面白そうなパズルゲーム見つけました、その６【Blockappend】,20,71.0,11,2582983,https://i.ytimg.com/vi/U7aH7LO9zEQ/hqdefault.jpg,25,3,2025-07-10T08:00:26Z,ゲーム,thumbnails/U7aH7LO9zEQ.jpg,1.0,1.0,11.3268171296296,38.9890651678227
0MMR_LbWgmQ,"付き合って6年目の彼女と""NGワードゲーム""やったら奇跡が起きた…w.w",24,60.0,0,2690023,https://i.ytimg.com/vi/0MMR_LbWgmQ/hqdefault.jpg,0,26,2025-06-17T10:00:00Z,ゲーム,thumbnails/0MMR_LbWgmQ.jpg,4.0,1.0,85.6463541666667,18.7362199947953
WeMwe5FPrDg,悲し過ぎる洗脳【ff7リバース】#ゲーム実況,20,53.0,0,3167500,https://i.ytimg.com/vi/WeMwe5FPrDg/hqdefault.jpg,0,14,2025-06-29T11:50:11Z,ゲーム,thumbnails/WeMwe5FPrDg.jpg,2.0,2.0,31.4871296296296,37.0054438997461
rilrfU_uzaI,デスゲームくん(仮)が来た~2回目のデスゲーム~,24,64.0,3,2922066,https://i.ytimg.com/vi/rilrfU_uzaI/hqdefault.jpg,0,24,2025-06-19T08:30:23Z,ゲーム,thumbnails/rilrfU_uzaI.jpg,2.0,2.0,59.6471296296296,43.9729934765539
-IlZh6pLvJ8,絶望の世界を冒険する大傑作ホラーゲーム『 LITTLE NIGHTMARES 2  - リトルナイトメア2 - 』,20,23257.0,14,1416591,https://i.ytimg.com/vi/-IlZh6pLvJ8/hqdefault.jpg,613,9,2025-07-04T09:20:42Z,ゲーム,thumbnails/-IlZh6pLvJ8.jpg,1.0,1.0,55.7216608796296,69.0935544904919
Wq8OcY5Bsw4,ネザーゲートを作るやつら【マイクラアニメ】,24,57.0,7,2745747,https://i.ytimg.com/vi/Wq8OcY5Bsw4/hqdefault.jpg,207,20,2025-06-23T09:30:30Z,ゲーム,thumbnails/Wq8OcY5Bsw4.jpg,0.0,0.0,55.050931712963,31.4320968321553
LBTNIgTurXo,仲間を信じて駆け抜けろ！【pushing it together】#ゲーム実況 #2人実況,20,57.0,10,2133743,https://i.ytimg.com/vi/LBTNIgTurXo/hqdefault.jpg,100,18,2025-06-25T09:53:16Z,ゲーム,thumbnails/LBTNIgTurXo.jpg,0.0,0.0,63.7946296296296,44.7159572361527
TXjUIRM-_D8,当選（意味深）,20,10.0,39,3003363,https://i.ytimg.com/vi/TXjUIRM-_D8/hqdefault.jpg,191,11,2025-07-02T08:02:00Z,ゲーム,thumbnails/TXjUIRM-_D8.jpg,3.0,2.0,78.6523553240741,56.6691870045606
h5bRzCz1soU,面白そうなパズルゲーム見つけました、その５【Blockappend】※レベル9はすぐに終わったのでばちこりカット,20,52.0,11,2302189,https://i.ytimg.com/vi/h5bRzCz1soU/hqdefault.jpg,25,4,2025-07-09T08:00:50Z,ゲーム,thumbnails/h5bRzCz1soU.jpg,1.0,1.0,6.59354166666667,30.3605120787884
lzgEYDVw5LM,ミニゲームで叫びが止まらない大空スバル【ホロライブ】#shorts,22,57.0,6,2561647,https://i.ytimg.com/vi/lzgEYDVw5LM/hqdefault.jpg,161,28,2025-06-15T09:01:04Z,ゲーム,thumbnails/lzgEYDVw5LM.jpg,0.0,0.0,102.499982638889,29.9115519950049
PynbEZP0ruE,【ミニゲーム】バレリーナシニョーラを倒して！ #クイズ #italianbrainrot #暇つぶし,24,60.0,0,1871026,https://i.ytimg.com/vi/PynbEZP0ruE/hqdefault.jpg,0,8,2025-07-05T06:00:20Z,ゲーム,thumbnails/PynbEZP0ruE.jpg,2.0,2.0,54.6912268518519,43.1080710400681
2UP8BiW6xr0,#shorts   イカゲーム3 撮影現場とドラマ本編の比較！🦑【Squid Game3 】,1,17.0,29,2455159,https://i.ytimg.com/vi/2UP8BiW6xr0/hqdefault.jpg,705,9,2025-07-04T11:30:03Z,ゲーム,thumbnails/2UP8BiW6xr0.jpg,6.0,1.0,34.2050868055556,34.3338074145547
VoT-Ez2KH-M,面白そうなパズルゲーム見つけました、その７【Blockappend】,20,69.0,11,1855743,https://i.ytimg.com/vi/VoT-Ez2KH-M/hqdefault.jpg,25,2,2025-07-11T08:00:42Z,ゲーム,thumbnails/VoT-Ez2KH-M.jpg,0.0,0.0,9.04211226851852,37.4096856176205
j1TLwTg4dpk,イタリアンブレインロットの名前を思い出して‼️#ミーム #ゲーム #クイズ #暇つぶし #shorts,20,50.0,0,1956479,https://i.ytimg.com/vi/j1TLwTg4dpk/hqdefault.jpg,0,17,2025-06-26T07:30:31Z,ゲーム,thumbnails/j1TLwTg4dpk.jpg,1.0,1.0,49.1846412037037,35.6681688317272
w3LuFHWbhGw,無料のパズルゲームTilted Tiles ※レベル16は一瞬でクリアしたのでべっつりカット,20,78.0,11,1952907,https://i.ytimg.com/vi/w3LuFHWbhGw/hqdefault.jpg,22,15,2025-06-28T08:01:08Z,ゲーム,thumbnails/w3LuFHWbhGw.jpg,0.0,0.0,18.3506539351852,30.105141999819
fQiJHyDdnUQ,【Switchクイズ】このSwitchを5秒で覚えて！ #クイズ #ゲーム #暇つぶし,24,59.0,0,1764398,https://i.ytimg.com/vi/fQiJHyDdnUQ/hqdefault.jpg,0,29,2025-06-14T08:00:54Z,ゲーム,thumbnails/fQiJHyDdnUQ.jpg,5.0,4.0,87.3855034722222,49.1354488723419
_MirblrL6kU,【ミニゲーム】イタリアンブレインロットが集結したキャラから逃げ切って！ #クイズ #ゲーム #暇つぶし,24,60.0,0,1732229,https://i.ytimg.com/vi/_MirblrL6kU/hqdefault.jpg,0,17,2025-06-26T10:01:06Z,ゲーム,thumbnails/_MirblrL6kU.jpg,2.0,2.0,38.2221875,28.328864694373
rb0Jm0LM3cE,サフールがトララレロの靴を奪った👟⁉️#ゲーム #クイズ #暇つぶし #ミーム #shorts,20,54.0,0,1748195,https://i.ytimg.com/vi/rb0Jm0LM3cE/hqdefault.jpg,0,23,2025-06-20T07:30:25Z,ゲーム,thumbnails/rb0Jm0LM3cE.jpg,1.0,1.0,91.3388020833333,63.3282140578353
5sz8A2GGVJk,デスゲームくん(仮)が来た~招かれざるウイチくん~,24,76.0,9,1614386,https://i.ytimg.com/vi/5sz8A2GGVJk/hqdefault.jpg,0,25,2025-06-18T06:39:28Z,ゲーム,thumbnails/5sz8A2GGVJk.jpg,0.0,0.0,52.7070138888889,34.864874645851
t5B_C0UU7co,I Survived Squid Game To Save Zhong!,24,1570.0,3,943933,https://i.ytimg.com/vi/t5B_C0UU7co/hqdefault.jpg,365,1,2025-07-12T12:01:37Z,ゲーム,thumbnails/t5B_C0UU7co.jpg,6.0,1.0,101.274918981481,100.521588893076
PAEgYgfJrdY,なんにせよ嬉しい「妖怪ウォッチバスターズ白犬隊」#ゲーム #ゲーム実況 #ゲーム実況者　音源の曲名(間違ってたら申し訳ございません) Unwelcome School/BGMは概要欄,20,161.0,0,1573489,https://i.ytimg.com/vi/PAEgYgfJrdY/hqdefault.jpg,388,16,2025-06-27T13:03:38Z,ゲーム,thumbnails/PAEgYgfJrdY.jpg,0.0,0.0,26.3746238425926,20.82969314855
VXeixttOhi4,目隠しデコレーションケーキ作りしたらおもしろすぎたww #Shorts #ゲーム #おやつ #こっちゃん,24,40.0,0,1648669,https://i.ytimg.com/vi/VXeixttOhi4/hqdefault.jpg,0,24,2025-06-19T08:00:26Z,ゲーム,thumbnails/VXeixttOhi4.jpg,8.0,4.0,71.0841608796296,33.2727116524458
DSq62fs1jXQ,【イカゲーム】型抜き成功後、兵士に中指を立てる最強少女www #shorts #アニメ #パロディ#SquidGame #型抜き,22,8.0,10,2398614,https://i.ytimg.com/vi/DSq62fs1jXQ/hqdefault.jpg,167,14,2025-06-29T15:22:30Z,ゲーム,thumbnails/DSq62fs1jXQ.jpg,2.0,1.0,96.7091261574074,56.1691555867534
kFSSgC6XwbQ,【白旗の少女】#歴史 #解説 #教育 #日本軍,27,71.0,0,4071118,https://i.ytimg.com/vi/kFSSgC6XwbQ/hqdefault.jpg,177,19,2025-06-24T09:43:24Z,教育,thumbnails/kFSSgC6XwbQ.jpg,4.0,1.0,46.7286805555556,27.9268342191231
m3zOVJgTWhY,3万6000人が反対！“無償化”が引き起こす教育崩壊,25,60.0,0,3056259,https://i.ytimg.com/vi/m3zOVJgTWhY/hqdefault.jpg,364,9,2025-07-04T21:00:53Z,教育,thumbnails/m3zOVJgTWhY.jpg,2.0,2.0,113.101180555556,29.2053857205364
6rLXiNyqT_s,世界で一番かわいい教育を受けるワンコ,24,45.0,0,2273710,https://i.ytimg.com/vi/6rLXiNyqT_s/hqdefault.jpg,0,5,2025-07-08T13:04:25Z,教育,thumbnails/6rLXiNyqT_s.jpg,4.0,3.0,96.8661863425926,53.17325835093369
_nu4eS3ZuAA,礼儀知らずのファンを教育した選手,22,19.0,2,2211451,https://i.ytimg.com/vi/_nu4eS3ZuAA/hqdefault.jpg,51,14,2025-06-29T10:03:10Z,教育,thumbnails/_nu4eS3ZuAA.jpg,6.0,1.0,72.3088368055556,26.5808382526889
TQvzZZ4Dhnk,日本語修得中旦那とスパルタ教育嫁　#chanmina #ちゃんみな #ashisland #애쉬아일랜드 #찬미가 #おすすめ #ショート #shorts,22,39.0,0,1835333,https://i.ytimg.com/vi/TQvzZZ4Dhnk/hqdefault.jpg,0,8,2025-07-05T12:30:52Z,教育,thumbnails/TQvzZZ4Dhnk.jpg,1.0,1.0,6.42347222222222,4.34123369949728
gLiz_N8mx-M,ラブール警部🔍おやつチャレンジ🍬 | 新エピソード | 子供向け安全教育 | 赤ちゃんが喜ぶアニメ | 動画 | ベビーバス| BabyBus,27,1768.0,27,869980,https://i.ytimg.com/vi/gLiz_N8mx-M/hqdefault.jpg,1416,29,2025-06-14T08:00:46Z,教育,thumbnails/gLiz_N8mx-M.jpg,3.0,1.0,100.696128472222,123.093121248185
cmxnmT4EO_Q,教育の幅狭めてんじゃねぇよ#snowman #shorts #ラウール#それスノ,22,31.0,0,1557810,https://i.ytimg.com/vi/cmxnmT4EO_Q/hqdefault.jpg,0,19,2025-06-24T07:36:55Z,教育,thumbnails/cmxnmT4EO_Q.jpg,2.0,1.0,93.5601736111111,52.1686870458187
tibkysf7Nj4,孩子的教育就应该从小开始，勇敢不是蛮横霸道，而是面对挫折时的勇气！ #情感 #正能量#感人 #教育孩子,22,115.0,30,1177862,https://i.ytimg.com/vi/tibkysf7Nj4/hqdefault.jpg,208,3,2025-07-11T03:01:05Z,教育,thumbnails/tibkysf7Nj4.jpg,6.0,3.0,55.4866030092593,35.4928972686205
Kl2vZCbzXdw,〇〇禁止の教育方針にびっくりした話 #line #おもしろ,22,43.0,0,1118360,https://i.ytimg.com/vi/Kl2vZCbzXdw/hqdefault.jpg,0,26,2025-06-17T10:17:07Z,教育,thumbnails/Kl2vZCbzXdw.jpg,1.0,1.0,47.6053240740741,54.0952537125076
jQfgnDjoPkw,教育ママVS教育ママ,23,63.0,16,1119518,https://i.ytimg.com/vi/jQfgnDjoPkw/hqdefault.jpg,462,0,2025-07-13T09:01:03Z,教育,thumbnails/jQfgnDjoPkw.jpg,3.0,1.0,74.3764525462963,56.9352247525725
n04-P16bZVA,【2ch】彡(ﾟ)(ﾟ)「教育教育係だった先輩が休職するらしい…」→ある社員のせいでメンタル崩壊,24,60.0,9,1058657,https://i.ytimg.com/vi/n04-P16bZVA/hqdefault.jpg,299,11,2025-07-02T11:01:20Z,教育,thumbnails/n04-P16bZVA.jpg,1.0,1.0,100.299542824074,29.5574027289786
PZkowMoTaZo,教育に悪そうなレンジャー、見つかるｗｗｗ,22,49.0,0,544157,https://i.ytimg.com/vi/PZkowMoTaZo/hqdefault.jpg,495,16,2025-06-27T10:15:01Z,教育,thumbnails/PZkowMoTaZo.jpg,2.0,1.0,113.176018518519,69.7263120029365
ZffxJ_Xryg8,抗日教育を受けた北朝鮮人が初めて日本に来て衝撃が止まらない,22,761.0,15,511514,https://i.ytimg.com/vi/ZffxJ_Xryg8/hqdefault.jpg,360,26,2025-06-17T10:00:57Z,教育,thumbnails/ZffxJ_Xryg8.jpg,7.0,1.0,83.9325173611111,74.9261007999103
ln4oIJbYsog,Educate them at home #shortvideos #learning #education #viral,22,53.0,0,968253,https://i.ytimg.com/vi/ln4oIJbYsog/hqdefault.jpg,0,3,2025-07-10T18:52:42Z,教育,thumbnails/ln4oIJbYsog.jpg,5.0,3.0,92.1531076388889,22.5092783257881
33WaCwwLbuw,【総集編】2025年上半期 教育ママ全動画イッキ見SP【作業用】,23,13952.0,14,500284,https://i.ytimg.com/vi/33WaCwwLbuw/hqdefault.jpg,460,15,2025-06-28T11:00:09Z,教育,thumbnails/33WaCwwLbuw.jpg,7.0,1.0,89.4297627314815,55.6116526233318
Uar7PVibFcw,ロバート秋山がお届けする教育番組【狂気の30分】,24,1402.0,0,467697,https://i.ytimg.com/vi/Uar7PVibFcw/hqdefault.jpg,670,14,2025-06-29T11:00:06Z,教育,thumbnails/Uar7PVibFcw.jpg,2.0,1.0,156.203825231482,29.0645384378733
LbqKz54jbjY,危ない！交通ルールを守ろうね～ | 子供向け安全教育 | イエス！ネオ | 赤ちゃんが喜ぶ歌 | 童謡 | アニメ | 動画 | ベビーバス| BabyBus,27,1222.0,32,480759,https://i.ytimg.com/vi/LbqKz54jbjY/hqdefault.jpg,1416,9,2025-07-04T08:00:33Z,教育,thumbnails/LbqKz54jbjY.jpg,3.0,3.0,106.658530092593,96.5052454578664
